Product_ID,Model,Store,Category,Description,Quantity,Stock_Status,Outstanding_Order_Qty,store_id,Total_Positive_Units,Avg_Positive_Velocity,Max_Monthly_Units,Active_Sales_Periods,Velocity_Band,ABC_Class,Demand_Status,Stock_Band,ABC_Priority,Velocity_Priority,Reorder_Recommendation,Recommendation_Reason,Slow_Mover_Action,Slow_Mover_Reason,Inventory_Decision,Decision_Priority,Decision_Reason,Inventory_Segment
221,980531,Belfast,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT WHITE MANUAL,2,IN_STOCK,0,1,0.0,,,0,NO_SALES,UNCLASSIFIED,NO_OBSERVED_SALES,LOW,0,0,NO ACTION,Stock level does not currently breach reorder rules,NO ACTION,No current slow-mover rule breached,NO ACTION,9,No current inventory intervention required,HEALTHY / NO INTERVENTION
221,980531,Blanch,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT WHITE MANUAL,3,IN_STOCK,0,2,0.0,,,0,NO_SALES,UNCLASSIFIED,NO_OBSERVED_SALES,ADEQUATE,0,0,NO ACTION,Stock level does not currently breach reorder rules,MONITOR,No observed positive sales with adequate stock (3 units),MONITOR,8,No observed positive sales with adequate stock (3 units),DEMAND MONITORING
221,980531,Cavan,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT WHITE MANUAL,3,IN_STOCK,0,3,0.0,,,0,NO_SALES,UNCLASSIFIED,NO_OBSERVED_SALES,ADEQUATE,0,0,NO ACTION,Stock level does not currently breach reorder rules,MONITOR,No observed positive sales with adequate stock (3 units),MONITOR,8,No observed positive sales with adequate stock (3 units),DEMAND MONITORING
221,980531,Dundrum,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT WHITE MANUAL,1,IN_STOCK,0,4,0.0,,,0,NO_SALES,UNCLASSIFIED,NO_OBSERVED_SALES,LOW,0,0,NO ACTION,Stock level does not currently breach reorder rules,NO ACTION,No current slow-mover rule breached,NO ACTION,9,No current inventory intervention required,HEALTHY / NO INTERVENTION
221,980531,Gorey,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT WHITE MANUAL,0,OUT_OF_STOCK,0,5,0.0,,,0,NO_SALES,UNCLASSIFIED,NO_OBSERVED_SALES,OUT_OF_STOCK,0,0,REVIEW,Out of stock but no observed positive sales signal,NO ACTION,No current slow-mover rule breached,STOCK REVIEW,7,Out of stock but no observed positive sales signal,STOCK AVAILABILITY REVIEW
221,980531,Navan,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT WHITE MANUAL,2,IN_STOCK,0,6,0.0,,,0,NO_SALES,UNCLASSIFIED,NO_OBSERVED_SALES,LOW,0,0,NO ACTION,Stock level does not currently breach reorder rules,NO ACTION,No current slow-mover rule breached,NO ACTION,9,No current inventory intervention required,HEALTHY / NO INTERVENTION
221,980531,Sandyford,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT WHITE MANUAL,3,IN_STOCK,0,7,0.0,,,0,NO_SALES,UNCLASSIFIED,NO_OBSERVED_SALES,ADEQUATE,0,0,NO ACTION,Stock level does not currently breach reorder rules,MONITOR,No observed positive sales with adequate stock (3 units),MONITOR,8,No observed positive sales with adequate stock (3 units),DEMAND MONITORING
222,980532,Belfast,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT SILVER MANUAL,1,IN_STOCK,0,1,1.0,1.0,1.0,1,LOW,C,OBSERVED_SALES,LOW,1,1,NO ACTION,Stock level does not currently breach reorder rules,NO ACTION,No current slow-mover rule breached,NO ACTION,9,No current inventory intervention required,HEALTHY / NO INTERVENTION
222,980532,Blanch,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT SILVER MANUAL,4,IN_STOCK,0,2,1.0,1.0,1.0,1,LOW,C,OBSERVED_SALES,ADEQUATE,1,1,NO ACTION,Stock level does not currently breach reorder rules,NO ACTION,No current slow-mover rule breached,NO ACTION,9,No current inventory intervention required,HEALTHY / NO INTERVENTION
222,980532,Cavan,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT SILVER MANUAL,2,IN_STOCK,0,3,1.0,1.0,1.0,1,LOW,C,OBSERVED_SALES,LOW,1,1,NO ACTION,Stock level does not currently breach reorder rules,NO ACTION,No current slow-mover rule breached,NO ACTION,9,No current inventory intervention required,HEALTHY / NO INTERVENTION
222,980532,Dundrum,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT SILVER MANUAL,4,IN_STOCK,0,4,1.0,1.0,1.0,1,LOW,C,OBSERVED_SALES,ADEQUATE,1,1,NO ACTION,Stock level does not currently breach reorder rules,NO ACTION,No current slow-mover rule breached,NO ACTION,9,No current inventory intervention required,HEALTHY / NO INTERVENTION
222,980532,Gorey,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT SILVER MANUAL,0,OUT_OF_STOCK,0,5,1.0,1.0,1.0,1,LOW,C,OBSERVED_SALES,OUT_OF_STOCK,1,1,REORDER,Out of stock with observed positive demand,NO ACTION,No current slow-mover rule breached,REPLENISH,3,Out of stock with observed positive demand,REPLENISHMENT REQUIRED
222,980532,Navan,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT SILVER MANUAL,4,IN_STOCK,0,6,1.0,1.0,1.0,1,LOW,C,OBSERVED_SALES,ADEQUATE,1,1,NO ACTION,Stock level does not currently breach reorder rules,NO ACTION,No current slow-mover rule breached,NO ACTION,9,No current inventory intervention required,HEALTHY / NO INTERVENTION
222,980532,Sandyford,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT SILVER MANUAL,2,IN_STOCK,0,7,1.0,1.0,1.0,1,LOW,C,OBSERVED_SALES,LOW,1,1,NO ACTION,Stock level does not currently breach reorder rules,NO ACTION,No current slow-mover rule breached,NO ACTION,9,No current inventory intervention required,HEALTHY / NO INTERVENTION
223,980533,Belfast,MICROWAVE OVENS,DIMPLEX 20 LITRE  800 WATT BLACK MANUAL,2,IN_STOCK,0,1,0.0,,,0,NO_SALES,UNCLASSIFIED,NO_OBSERVED_SALES,LOW,0,0,NO ACTION,Stock level does not currently breach reorder rules,NO ACTION,No current slow-mover rule breached,NO ACTION,9,No current inventory intervention required,HEALTHY / NO INTERVENTION
