SOA_Record_ID,Product_ID,Product_Key,Model,Description,Starts,Ends,Window_Days,SOA,Original_Ends,Date_Correction_Flag
1,11,107833-01,107833-01,Dyson Supersonic Hair Dryer,31/12/2025,03/02/2026,35,66.5,03/02/2026,FALSE
2,36,161818-01,161818-01,Dyson Supersonic Ceramic,31/12/2025,03/02/2026,35,66.5,03/02/2026,FALSE
3,39,19750,19750,Russell Hobbs Rice Cooker 1.8Ltr,01/02/2026,28/02/2026,28,5,28/02/2026,FALSE
4,48,21270,21270,Russell Hobbs White Textures Jug,01/02/2026,28/02/2026,28,2.29,28/02/2026,FALSE
5,49,21271,21271,Russell Hobbs Black Textures Jug,01/02/2026,28/02/2026,28,2.29,28/02/2026,FALSE
6,50,21274,21274,Russell Hobbs Texture Kettle,01/02/2026,28/02/2026,28,2.29,28/02/2026,FALSE
7,52,21640,21640,Russell Hobbs White Textures 2,01/02/2026,28/02/2026,28,2.29,28/02/2026,FALSE
8,53,21641,21641,RUSSELL HOBBS BLACK,01/02/2026,28/02/2026,28,2.29,28/02/2026,FALSE
9,54,21644,21644,Russell Hobbs Textures Toaster,01/02/2026,28/02/2026,28,2.29,28/02/2026,FALSE
10,57,23211,23211,Luna Moonlight Grey Quiet Boil,01/02/2026,28/02/2026,28,17.08,28/02/2026,FALSE
11,58,23221,23221,Luna Moonlight Grey 2 Slice,01/02/2026,28/02/2026,28,10.83,28/02/2026,FALSE
12,59,232573-01,232573-01,Dyson Bally Multifloor 2,21/01/2026,03/02/2026,14,19.95,03/02/2026,FALSE
13,60,237836-01,237836-01,Dyson RB 360 Vis Nav Robot Vac,15/01/2026,03/02/2026,20,376.29,03/02/2026,FALSE
14,61,23840,23840,Russell Hobbs Travel Kettle,01/02/2026,28/02/2026,28,3.75,28/02/2026,FALSE
15,69,24550,24550,Russell Hobbs 4 Portion Sandwich,01/02/2026,28/02/2026,28,1.66,28/02/2026,FALSE
16,70,24570,24570,DEEP FAT FRYER,01/02/2026,28/02/2026,28,4.58,28/02/2026,FALSE
17,72,24610,24610,Russell Hobbs Jug Blender,01/02/2026,28/02/2026,28,3.88,28/02/2026,FALSE
18,80,25810,25810,George Foreman Fit Grill Medium,01/02/2026,28/02/2026,28,11.04,28/02/2026,FALSE
19,83,26080,26080,RH CLASSIC GLASS KETTLE,01/02/2026,28/02/2026,28,3.75,28/02/2026,FALSE
20,86,26750,26750,Russell Hobbs Bronte Kettle Black,01/02/2026,28/02/2026,28,10.83,28/02/2026,FALSE
21,87,26751,26751,Russell Hobbs Bronte Kettle,01/02/2026,28/02/2026,28,6.39,28/02/2026,FALSE
22,88,26770,26770,Russell Hobbs Bronte Toaster,01/02/2026,28/02/2026,28,10.83,28/02/2026,FALSE
23,89,26771,26771,Russell Hobbs Bronte Toaster,01/02/2026,28/02/2026,28,6.39,28/02/2026,FALSE
24,90,26800,26800,Rusell Hobbs Sandwich Maker,01/02/2026,28/02/2026,28,2.08,28/02/2026,FALSE
25,91,26810,26810,Russell Hobbs 3 in 1 Deep Fill,01/02/2026,28/02/2026,28,7.81,28/02/2026,FALSE
26,96,27600,27600,Russell Blue Steam Genie,01/02/2026,28/02/2026,28,9.16,28/02/2026,FALSE
27,100,28630,28630,Russell Hobbs Blue Iron,01/02/2026,28/02/2026,28,16.66,28/02/2026,FALSE
28,103,32LQ63006LA.AEK,32LQ63006LA.AEK,"LG 32"" Television",03/12/2025,27/01/2026,56,43,27/01/2026,FALSE
29,110,394433-01,394433-01,V10 Absolute (2022 New Code),31/12/2025,03/02/2026,35,66.5,03/02/2026,FALSE
30,123,43NANO81A6A.AE,43NANO81A6A.AE,LG 43in,19/01/2026,27/01/2026,9,18.06,27/01/2026,FALSE
31,124,43NANO81T6A.AE,43NANO81T6A.AE,"LG 43"" Nano 4K TV",03/12/2025,27/01/2026,56,38.7,27/01/2026,FALSE
32,125,43QNED70A6A.AE,43QNED70A6A.AE,LG 43in,19/01/2026,27/01/2026,9,30.1,27/01/2026,FALSE
33,126,43QNED80T6A.AE,43QNED80T6A.AE,"LG 43"" QNED 4K Smart TV",03/12/2025,27/01/2026,56,155.66,27/01/2026,FALSE
34,128,43QNED82A6B.AE,43QNED82A6B.AE,LG 43in,19/01/2026,27/01/2026,9,17.2,27/01/2026,FALSE
35,130,43QNED87A6D.AE,43QNED87A6D.AE,LG 43inch QNED Mini LED Evo AI,14/01/2026,27/01/2026,14,54.18,27/01/2026,FALSE
36,132,43UA73006LA.AEK,43UA73006LA.AEK,LG 43in UA 43UA TV,14/01/2026,27/01/2026,14,6.02,27/01/2026,FALSE
37,133,43UA75006LA.AEK,43UA75006LA.AEK,LG 43in UA 43UA TV,14/01/2026,27/01/2026,14,12.9,27/01/2026,FALSE
38,134,43UT81006LA.AEK,43UT81006LA.AEK,"LG 43"" UHD 4K Smart TV",03/12/2025,27/01/2026,56,62.78,27/01/2026,FALSE
39,136,447033-01,447033-01,Dyson V15 Detect Absolute,21/01/2026,03/02/2026,14,66.5,03/02/2026,FALSE
40,138,454856-01,454856-01,Dyson HP10 Hot & Cool Purifier,21/01/2026,03/02/2026,14,66.5,03/02/2026,FALSE
41,142,476597-01,476597-01,Dyson V11 Extra SV28,07/01/2026,03/02/2026,28,99.75,03/02/2026,FALSE
42,145,492637-01,492637-01,New V8 Advanced,07/01/2026,03/02/2026,28,66.5,03/02/2026,FALSE
43,146,492666-01,492666-01,Dyson Wash G1 Floor Cleaner,20/01/2026,03/02/2026,15,199.5,03/02/2026,FALSE
44,149,509266,509266,Sennheiser Momentum 4 Black,01/02/2026,28/02/2026,28,34.4,28/02/2026,FALSE
45,151,50NANO81A6A.AE,50NANO81A6A.AE,LG 50in,19/01/2026,27/01/2026,9,18.92,27/01/2026,FALSE
46,152,50NANO81T6A.AE,50NANO81T6A.AE,"LG 50"" Nano 4K Smart TV",03/12/2025,27/01/2026,56,56.76,27/01/2026,FALSE
47,154,50QNED70A6A.AE,50QNED70A6A.AE,LG 50in,14/01/2026,27/01/2026,14,48.16,27/01/2026,FALSE
48,155,50QNED80T6A.AE,50QNED80T6A.AE,"LG 50"" QNED 4K Smart TV",03/12/2025,27/01/2026,56,154.8,27/01/2026,FALSE
49,156,50QNED82A6B.AE,50QNED82A6B.AE,LG 50in,19/01/2026,27/01/2026,9,29.24,27/01/2026,FALSE
50,157,50QNED87T6B.AE,50QNED87T6B.AE,"LG 50"" QNED TV",03/12/2025,27/01/2026,56,187.48,27/01/2026,FALSE
51,158,50UA73006LA.AEK,50UA73006LA.AEK,LG 50in UA 50UA TV,19/01/2026,27/01/2026,9,18.92,27/01/2026,FALSE
52,160,50UA75006LA.AEK,50UA75006LA.AEK,LG 50in UA 50UA TV,14/01/2026,27/01/2026,14,31.82,27/01/2026,FALSE
53,161,50UT81006LA.AEK,50UT81006LA.AEK,"LG 50"" UHD 4K Smart TV",03/12/2025,27/01/2026,56,61.92,27/01/2026,FALSE
54,163,5109BQBE,5109BQBE,HONOR Magic7 Lite 8+512GB,03/02/2026,28/02/2026,26,63.86,28/02/2026,FALSE
55,164,5109BUUP,5109BUUP,HONOR 400 8GB+256GB,03/02/2026,28/02/2026,26,87.08,28/02/2026,FALSE
56,165,5109CAHF,5109CAHF,HONOR 400 Smart 6GB+128GB,03/02/2026,28/02/2026,26,23.22,28/02/2026,FALSE
57,166,514298-01,514298-01,Dyson Supersonic Nural,31/12/2025,03/02/2026,35,66.5,03/02/2026,FALSE
58,168,544587-01,544587-01,Dyson Humidity+Cool Air Purifier,21/01/2026,03/02/2026,14,66.5,03/02/2026,FALSE
59,171,55NANO81A6A.AE,55NANO81A6A.AE,LG 55,14/01/2026,27/01/2026,14,30.96,27/01/2026,FALSE
60,172,55NANO81T6A.AE,55NANO81T6A.AE,"LG 55"" Nano 4K Smart TV",03/12/2025,27/01/2026,56,55.9,27/01/2026,FALSE
61,173,55QNED70A6A.AE,55QNED70A6A.AE,LG 55in,14/01/2026,27/01/2026,14,18.06,27/01/2026,FALSE
62,174,55QNED80T6A.AE,55QNED80T6A.AE,"LG 55"" QNED 4K Smart TV",03/12/2025,27/01/2026,56,172,27/01/2026,FALSE
63,176,55QNED82A6B.AE,55QNED82A6B.AE,LG 55in,19/01/2026,27/01/2026,9,30.1,27/01/2026,FALSE
64,177,55QNED87A6B.AE,55QNED87A6B.AE,LG 55in,19/01/2026,27/01/2026,9,28.38,27/01/2026,FALSE
65,178,55QNED87T6B.AE,55QNED87T6B.AE,"LG 55"" QNED 4K Smart TV",03/12/2025,27/01/2026,56,272.62,27/01/2026,FALSE
66,179,55UA73006LA.AEK,55UA73006LA.AEK,LG 55in UA 55UA TV,19/01/2026,27/01/2026,9,18.92,27/01/2026,FALSE
67,180,55UT81006LA.AEK,55UT81006LA.AEK,"LG 55"" UHD 4K Smart TV",03/12/2025,27/01/2026,56,93.74,27/01/2026,FALSE
68,182,586121-01,586121-01,Dyson Car & Boat Handheld Vac,07/01/2026,03/02/2026,28,33.25,03/02/2026,FALSE
69,183,586344-01,586344-01,Dyson AM15 Hot & Cold Fan,07/01/2026,03/02/2026,28,33.25,03/02/2026,FALSE
70,184,588K9B,588K9B,HP DESKJET 2820E AIO,04/02/2026,28/02/2026,25,12.04,28/02/2026,FALSE
71,185,588Q0B,588Q0B,HP DeskJet 2810e,04/02/2026,28/02/2026,25,9.03,28/02/2026,FALSE
72,186,598961-01,598961-01,Dyson Airstrait Rose Gold & Pink,07/01/2026,03/02/2026,28,99.75,03/02/2026,FALSE
73,187,601857-01,601857-01,Dyson Airwrap Ceramic Pink /,21/01/2026,03/02/2026,14,33.25,03/02/2026,FALSE
74,190,65NANO81A6A.AE,65NANO81A6A.AE,LG 65in,19/01/2026,27/01/2026,9,18.92,27/01/2026,FALSE
75,191,65NANO81T6A.AE,65NANO81T6A.AE,"LG 60"" Nano Smart TV",03/12/2025,27/01/2026,56,59.34,27/01/2026,FALSE
76,192,65QNED70A6A.AE,65QNED70A6A.AE,LG 65in,19/01/2026,27/01/2026,9,30.1,27/01/2026,FALSE
77,193,65QNED80T6A.AE,65QNED80T6A.AE,"LG 65"" QNED 4K Smart TV",03/12/2025,27/01/2026,56,258,27/01/2026,FALSE
78,194,65QNED82A6B.AE,65QNED82A6B.AE,LG 65in,19/01/2026,27/01/2026,9,58.48,27/01/2026,FALSE
79,196,65QNED87A6B.AE,65QNED87A6B.AE,LG 65in,19/01/2026,27/01/2026,9,56.76,27/01/2026,FALSE
80,198,65QNED87T6B.AE,65QNED87T6B.AE,"LG 65"" QNED 4K Smart TV",03/12/2025,27/01/2026,56,325.94,27/01/2026,FALSE
81,199,65QNED91T6A.AE,65QNED91T6A.AE,"LG 65"" QNED MiniLED TV",03/12/2025,27/01/2026,56,269.18,27/01/2026,FALSE
82,200,65UA73006LA.AEK,65UA73006LA.AEK,LG 65in UA 65UA TV,19/01/2026,27/01/2026,9,12.9,27/01/2026,FALSE
83,201,65UA75006LA.AEK,65UA75006LA.AEK,LG 65in UA 65UA TV,19/01/2026,27/01/2026,9,18.06,27/01/2026,FALSE
84,203,65UT81006LA.AEK,65UT81006LA.AEK,"LG 65"" UHD 4K Smart TV",03/12/2025,27/01/2026,56,124.7,27/01/2026,FALSE
85,205,700174,700174,Sennheiser ACCENTUM Black,01/02/2026,28/02/2026,28,11.18,28/02/2026,FALSE
86,206,700177,700177,Sennheiser Accentum PLus White,01/02/2026,28/02/2026,28,15.91,28/02/2026,FALSE
87,207,700262,700262,Sennheiser Accentum True,01/02/2026,28/02/2026,28,9.89,28/02/2026,FALSE
88,208,700365,700365,Sennheiser Momentum Tue,01/02/2026,28/02/2026,28,12.04,28/02/2026,FALSE
89,209,75NANO81A6A.AE,75NANO81A6A.AE,LG 75in,14/01/2026,27/01/2026,14,61.92,27/01/2026,FALSE
90,210,75NANO81T6A.AE,75NANO81T6A.AE,"LG 75"" Nano Smart TV",03/12/2025,27/01/2026,56,172,27/01/2026,FALSE
