Sales_Record_ID,Product_ID,Product_Key,Source_Month,Category,Stock Code,Description,Record_Type,Level,Sold Period,Transaction_Status,Unit Cost,Unit Price,Cost Sales,Sales Value,Profit,Profit %,Cost_Sales_Reconciliation_Flag
1,1223,TLS169BOXE,Nov,ACCESSORIES,TLS169BOXE,Boxed Uni Floor Tool 30-38MM,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,9.31,29.99,9.31,24.99,15.68,62.75,MATCH
2,17,112.204,Nov,ACCESSORIES,112.204,TV Arial Lead 4.0m,PRODUCT,3,1,POSITIVE_SALES_ACTIVITY,1.28,2.99,1.28,2.49,1.21,48.59,MATCH
3,385,DLSC500,Nov,ACCESSORIES,DLSC500,Delonghi Descaler,PRODUCT,5,1,POSITIVE_SALES_ACTIVITY,7.77,14.49,7.77,7.5,-0.27,-3.6,MATCH
4,246,AF01,Nov,ACCESSORIES,AF01,VACUUM FRESHENERS AF101,PRODUCT,3,2,POSITIVE_SALES_ACTIVITY,2.3,3.49,4.6,3.32,-1.28,-38.55,MATCH
5,1076,SES007NEU0,Nov,ACCESSORIES,SES007NEU0,Sage Descaler (pack of 4),PRODUCT,6,2,POSITIVE_SALES_ACTIVITY,9.39,14.49,18.78,23.32,4.54,19.47,MATCH
6,1074,SEC250NEU0,Nov,ACCESSORIES,SEC250NEU0,Sage Espresso Cleaning Tablets,PRODUCT,0,2,POSITIVE_SALES_ACTIVITY,9.39,16.99,18.78,23.32,4.54,19.47,MATCH
7,1077,SES008WHT0SAGE,Nov,ACCESSORIES,SES008WHT0Sage,Claro Swiss Water Filter,PRODUCT,11,3,POSITIVE_SALES_ACTIVITY,9.39,14.49,28.17,35.01,6.84,19.54,MATCH
8,1162,SV93605G,Nov,ACCESSORIES,SV93605G,OFA Digi ANT Indoor Amp to 45dB,PRODUCT,3,1,POSITIVE_SALES_ACTIVITY,19.17,33.99,19.17,28.33,9.16,32.33,MATCH
9,526,GO524,Nov,ACCESSORIES,GO524,GO IRE to EU Travel Adaptor,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,4.96,9.49,4.96,7.49,2.53,33.78,MATCH
10,120,430009,Nov,ACCESSORIES,430009,MERCURY 4 GANG SURGE 2M,PRODUCT,2,1,POSITIVE_SALES_ACTIVITY,6.22,12.99,6.22,9.17,2.95,32.17,MATCH
11,13,110200,Nov,BAGS,110200,Port Designs Belize Satchel Bag 15.6,PRODUCT,4,1,POSITIVE_SALES_ACTIVITY,9.72,22.99,9.72,15.83,6.11,38.6,MATCH
12,578,HDP100WG,Nov,BLENDERS,HDP100WG,Kenwood Hand Blender,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,15.54,33.99,15.54,19.16,3.62,18.89,MATCH
13,310,BN750UK,Nov,BLENDERS,BN750UK,Ninja 2-in-1 Multi Serve Blender with,PRODUCT,4,1,POSITIVE_SALES_ACTIVITY,90.65,135.99,90.65,82.5,-8.15,-9.88,MATCH
14,5,01950,Nov,BLENDERS,01950,NUTRIBULLET PRO 4pc Starter Kit,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,45.9,76.49,45.9,57.5,11.6,20.17,MATCH
15,95,27141,Nov,BLENDERS,27141,Russell Hobbs 3 in 1 Matt Charcoal,PRODUCT,3,1,POSITIVE_SALES_ACTIVITY,30.06,50.99,30.06,29.16,-0.9,-3.09,MATCH
16,787,MQ10.001PW,Nov,BLENDERS,MQ10.001PW,Braun Multiquick 1,PRODUCT,4,1,POSITIVE_SALES_ACTIVITY,8.81,25.99,8.81,15.83,7.02,44.35,MATCH
17,1194,TAPOL530E,Nov,BULBS,TAPOL530E,Tapo Smart WiFi Multicolur Screw,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,7.04,19.99,7.04,7.49,0.45,6.01,MATCH
18,663,JEGJD1660,Nov,BULBS,JEGJD1660,Jeggs CD2 40W Cooker Hood Bulbs,PRODUCT,4,2,POSITIVE_SALES_ACTIVITY,1.96,3.49,3.92,5.82,1.9,32.65,MATCH
19,665,JEGJDB125W,Nov,BULBS,JEGJDB125W,CDU12 CLEAR LED FILAMENT GLS,PRODUCT,10,1,POSITIVE_SALES_ACTIVITY,2.58,4.99,2.58,4.16,1.58,37.98,MATCH
20,666,JEGJDB128W,Nov,BULBS,JEGJDB128W,CDU12 CLEAR LED FILAMENT GLS,PRODUCT,9,3,POSITIVE_SALES_ACTIVITY,2.15,4.99,6.45,12.48,6.03,48.32,MATCH
21,779,MM502R,Nov,CABLES,MM502R,Deltaco 2xRCA to 2xRCA 1M,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,3.5,5.99,3.5,4.99,1.49,29.86,MATCH
22,782,MM524R,Nov,CABLES,MM524R,"Deltaco 3,5mm Male to Male Stereo",PRODUCT,1,0,ZERO_UNIT_FINANCIAL_ADJUSTMENT,3.64,5.99,0.0,0.01,0.01,100.0,MATCH
23,387,DPHDMI45R,Nov,CABLES,DPHDMI45R,Deltaco Mini DisplayPort to HDMI,PRODUCT,0,2,POSITIVE_SALES_ACTIVITY,9.78,16.49,19.56,28.32,8.76,30.93,MATCH
24,117,429776,Nov,CABLES,429776,6Gang/Surge/2m,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,7.34,12.99,7.34,14.16,6.82,48.16,MATCH
25,1227,TOTO13R,Nov,CABLES,TOTO13R,3mt TOSLINK to TOSLINK cable,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,7.63,12.99,7.63,10.83,3.2,29.55,MATCH
26,781,MM522R,Nov,CABLES,MM522R,"Deltaco 3,5mm Male to Male Stereo",PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,3.28,0.49,3.28,4.99,1.71,34.27,MATCH
27,577,HDMI1020R,Nov,CABLES,HDMI1020R,"2mt HDMI cable, HDMI High Speed",PRODUCT,2,1,POSITIVE_SALES_ACTIVITY,6.01,0.49,6.01,10.83,4.82,44.51,MATCH
28,543,GVMA001WE,Nov,CABLES,GVMA001WE,Groove USB-C to USB-A Charging,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,3.54,6.99,3.54,5.83,2.29,39.28,MATCH
29,546,GVMA041WE,Nov,CABLES,GVMA041WE,Groove 1mt MFI Apple to USB-A,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,7.05,12.99,7.05,10.83,3.78,34.9,MATCH
30,547,GVMA042WE,Nov,CABLES,GVMA042WE,Groove 2mt MFI Apple to USB-A,PRODUCT,2,1,POSITIVE_SALES_ACTIVITY,9.14,16.99,9.14,14.16,5.02,35.45,MATCH
31,545,GVMA025WE,Nov,CABLES,GVMA025WE,Groove 3mt 100w USB-C to USB-C,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,6.57,12.49,6.57,10.83,4.26,39.34,MATCH
32,386,DP3020R,Nov,CABLES,DP3020R,Deltaco DisplayPort to HDMI Cable,PRODUCT,0,2,POSITIVE_SALES_ACTIVITY,9.55,20.99,19.1,26.67,7.57,28.38,MATCH
33,549,GVMA082WE,Nov,CABLES,GVMA082WE,Groove USB-C to 3.5mm Female,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,2.48,6.99,2.48,4.99,2.51,50.3,MATCH
34,892,P11400ML2W-POWERPOINT,Nov,CHEST FREEZERS,P11400ML2W-Powerpoint,400L 1365mm Wide,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,289.0,423.99,289.0,333.33,44.33,13.3,MATCH
35,1072,SEA501BSS0,Nov,COFFEE ACCESSORIES,SEA501BSS0,Sage The Knock Box 10,PRODUCT,-1,2,POSITIVE_SALES_ACTIVITY,19.13,31.49,38.26,49.98,11.72,23.45,MATCH
36,44,20680,Nov,COFFEE MAKERS,20680,RUSSELL HOBBS COFFEE MAKER,PRODUCT,3,1,POSITIVE_SALES_ACTIVITY,32.65,64.99,32.65,34.99,2.34,6.69,MATCH
